year,scenario,variable,emissions_GtCO2_per_yr
2020,SSP1-1.9,CO2_emissions_GtCO2_per_yr,39.6937264516874
2030,SSP1-1.9,CO2_emissions_GtCO2_per_yr,22.8472709173938
2040,SSP1-1.9,CO2_emissions_GtCO2_per_yr,10.4750888193786
2050,SSP1-1.9,CO2_emissions_GtCO2_per_yr,2.05036155775863
2020,SSP1-2.6,CO2_emissions_GtCO2_per_yr,39.8040134329135
2030,SSP1-2.6,CO2_emissions_GtCO2_per_yr,34.7344236538734
2040,SSP1-2.6,CO2_emissions_GtCO2_per_yr,26.509182688349
2050,SSP1-2.6,CO2_emissions_GtCO2_per_yr,17.9635391054858
2020,SSP2-4.5,CO2_emissions_GtCO2_per_yr,40.6475298965056
2030,SSP2-4.5,CO2_emissions_GtCO2_per_yr,43.4760625524666
2040,SSP2-4.5,CO2_emissions_GtCO2_per_yr,44.2529000312976
2050,SSP2-4.5,CO2_emissions_GtCO2_per_yr,43.4621900425296
2020,SSP3-7.0,CO2_emissions_GtCO2_per_yr,44.8080382241732
2030,SSP3-7.0,CO2_emissions_GtCO2_per_yr,52.8473593168546
2040,SSP3-7.0,CO2_emissions_GtCO2_per_yr,58.4979698277256
2050,SSP3-7.0,CO2_emissions_GtCO2_per_yr,62.9040586222294
2020,SSP5-8.5,CO2_emissions_GtCO2_per_yr,43.712348564522
2030,SSP5-8.5,CO2_emissions_GtCO2_per_yr,55.2965832256573
2040,SSP5-8.5,CO2_emissions_GtCO2_per_yr,68.7756982044147
2050,SSP5-8.5,CO2_emissions_GtCO2_per_yr,83.2982199421343
