year,scenario,variable,central_m,p17_m,p83_m,low_confidence_p83_m,low_confidence_p95_m,relative_to
2020,SSP1-1.9,GMSL_change_m,0.208,,,,,1900
2030,SSP1-1.9,GMSL_change_m,0.248,,,,,1900
2040,SSP1-1.9,GMSL_change_m,0.288,,,,,1900
2050,SSP1-1.9,GMSL_change_m,0.338,,,,,1900
2020,SSP1-2.6,GMSL_change_m,0.208,0.198,0.218,,,1900
2030,SSP1-2.6,GMSL_change_m,0.248,0.238,0.278,,,1900
2040,SSP1-2.6,GMSL_change_m,0.298,0.268,0.328,,,1900
2050,SSP1-2.6,GMSL_change_m,0.348,0.318,0.408,,,1900
2020,SSP2-4.5,GMSL_change_m,0.208,,,,,1900
2030,SSP2-4.5,GMSL_change_m,0.248,,,,,1900
2040,SSP2-4.5,GMSL_change_m,0.298,,,,,1900
2050,SSP2-4.5,GMSL_change_m,0.358,,,,,1900
2020,SSP3-7.0,GMSL_change_m,0.208,0.198,0.218,,,1900
2030,SSP3-7.0,GMSL_change_m,0.248,0.238,0.278,,,1900
2040,SSP3-7.0,GMSL_change_m,0.298,0.278,0.338,,,1900
2050,SSP3-7.0,GMSL_change_m,0.368,0.338,0.428,,,1900
2020,SSP5-8.5,GMSL_change_m,0.208,,,0.228,0.238,1900
2030,SSP5-8.5,GMSL_change_m,0.258,,,0.308,0.358,1900
2040,SSP5-8.5,GMSL_change_m,0.318,,,0.418,0.508,1900
2050,SSP5-8.5,GMSL_change_m,0.388,,,0.558,0.698,1900
