year,scenario,variable,mean,p05,p95,relative_to
2020,SSP1-1.9,GSAT_anomaly_C,1.225472443290541,1.099381120151216,1.359480014065763,1850-1900
2021,SSP1-1.9,GSAT_anomaly_C,1.251715812538949,1.116316396933119,1.395545562304503,1850-1900
2022,SSP1-1.9,GSAT_anomaly_C,1.27695901514128,1.131426639060884,1.431435216765168,1850-1900
2023,SSP1-1.9,GSAT_anomaly_C,1.300042351113897,1.143703642286295,1.466095904696037,1850-1900
2024,SSP1-1.9,GSAT_anomaly_C,1.321454670604185,1.155780873870311,1.497793007499449,1850-1900
2025,SSP1-1.9,GSAT_anomaly_C,1.343829073908499,1.167700256715394,1.53144356298067,1850-1900
2026,SSP1-1.9,GSAT_anomaly_C,1.366752731560742,1.182071659218527,1.563874517589058,1850-1900
2027,SSP1-1.9,GSAT_anomaly_C,1.388259637948981,1.195750001963533,1.594148766090089,1850-1900
2028,SSP1-1.9,GSAT_anomaly_C,1.407256661867743,1.206357913491507,1.622647884602263,1850-1900
2029,SSP1-1.9,GSAT_anomaly_C,1.426049766202361,1.217020392917817,1.650491691322245,1850-1900
2030,SSP1-1.9,GSAT_anomaly_C,1.44350264832618,1.2280106717716,1.675340717151884,1850-1900
2031,SSP1-1.9,GSAT_anomaly_C,1.459082550325048,1.234975854792554,1.700707143878416,1850-1900
2032,SSP1-1.9,GSAT_anomaly_C,1.474052991643572,1.241240694353395,1.725904055097354,1850-1900
2033,SSP1-1.9,GSAT_anomaly_C,1.487861154237756,1.247567864958888,1.748101469708499,1850-1900
2034,SSP1-1.9,GSAT_anomaly_C,1.49935936809009,1.252629550616456,1.767090988379766,1850-1900
2035,SSP1-1.9,GSAT_anomaly_C,1.510067059991037,1.256775085406528,1.786170264610801,1850-1900
2036,SSP1-1.9,GSAT_anomaly_C,1.520046170464525,1.260589190860015,1.803607483863885,1850-1900
2037,SSP1-1.9,GSAT_anomaly_C,1.52824108656861,1.263875026927821,1.818156489737513,1850-1900
2038,SSP1-1.9,GSAT_anomaly_C,1.535336003976834,1.265462329368042,1.831783308781982,1850-1900
2039,SSP1-1.9,GSAT_anomaly_C,1.543069379903648,1.268507447185973,1.84564712697995,1850-1900
2040,SSP1-1.9,GSAT_anomaly_C,1.549635038537787,1.270907329270043,1.857401273375314,1850-1900
2041,SSP1-1.9,GSAT_anomaly_C,1.554121449724712,1.271823515550348,1.867063288666071,1850-1900
2042,SSP1-1.9,GSAT_anomaly_C,1.558734535345618,1.273603829192245,1.875360869013015,1850-1900
2043,SSP1-1.9,GSAT_anomaly_C,1.562800423687018,1.275930824143495,1.882665436412663,1850-1900
2044,SSP1-1.9,GSAT_anomaly_C,1.566356880654194,1.276253414718422,1.890744599537217,1850-1900
2045,SSP1-1.9,GSAT_anomaly_C,1.568121078904943,1.27459756882445,1.896798549750875,1850-1900
2046,SSP1-1.9,GSAT_anomaly_C,1.567168399053921,1.27062905287353,1.90047684740473,1850-1900
2047,SSP1-1.9,GSAT_anomaly_C,1.567000395509804,1.265763207983002,1.905980032097287,1850-1900
2048,SSP1-1.9,GSAT_anomaly_C,1.566768571625803,1.262351690390835,1.910409223869712,1850-1900
2049,SSP1-1.9,GSAT_anomaly_C,1.566172001353058,1.259214937388564,1.91285366859673,1850-1900
2050,SSP1-1.9,GSAT_anomaly_C,1.565447871078812,1.256735313405531,1.915745129017758,1850-1900
2020,SSP1-2.6,GSAT_anomaly_C,1.228768373007366,1.098654539785213,1.378903226607599,1850-1900
2021,SSP1-2.6,GSAT_anomaly_C,1.254123596395378,1.114052096759987,1.414332500609374,1850-1900
2022,SSP1-2.6,GSAT_anomaly_C,1.278778936706126,1.130232140427451,1.449860415203566,1850-1900
2023,SSP1-2.6,GSAT_anomaly_C,1.301780680427943,1.146167254061598,1.484397475914503,1850-1900
2024,SSP1-2.6,GSAT_anomaly_C,1.325222231966173,1.161122394217163,1.521392977191734,1850-1900
2025,SSP1-2.6,GSAT_anomaly_C,1.350618531064992,1.175604574476995,1.552925162305321,1850-1900
2026,SSP1-2.6,GSAT_anomaly_C,1.372619163208597,1.189768229429188,1.585592683944005,1850-1900
2027,SSP1-2.6,GSAT_anomaly_C,1.395754585027414,1.204514327446887,1.614728988672812,1850-1900
2028,SSP1-2.6,GSAT_anomaly_C,1.417280592175695,1.218856351014031,1.645861947083725,1850-1900
